A Classic Education - NightOwl,2.91,0.03499762979015178
ANiMAL - Clinic A,0.22,0.021004068788182395
ANiMAL - Easy Tiger,0.17,0.03889955282053182
ANiMAL - Rockshow,0.25,0.036210801055176725
Actions - Devil's Words,1.05,0.03556771640397598
Actions - One Minute Smile,0.41,0.018340535077832905
Actions - South Of The Water,0.22,0.028280082344417545
Aimee Norwich - Child,2.35,0.02641736659709095
Alexander Ross - Goodbye Bolero,1.47,0.014326074337815655
Alexander Ross - Velvet Curtain,0.54,0.025267827735030796
Angela Thomas Wade - Milk Cow Blues,1.36,0.02842398967541007
Atlantis Bound - It Was My Fault For Waiting,2.59,0.0037280520446209787
Auctioneer - Our Future Faces,1.64,0.02405205453631566
AvaLuna - Waterduct,0.54,0.023138759626065052
BigTroubles - Phantom,3.88,0.02722275995575221
Bill Chudziak - Children Of No-one,2.06,0.021651297845563303
Black Bloc - If You Want Success,0.28,0.01755564462598231
Celestial Shore - Die For Us,2.88,0.03588422431041465
Chris Durban - Celebrate,2.35,0.01988165680473373
Clara Berry And Wooldog - Air Traffic,3.19,0.02306197684023201
Clara Berry And Wooldog - Stella,1.73,0.03065259798144649
Clara Berry And Wooldog - Waltz For My Victims,2.04,0.03420161399045069
Cnoc An Tursa - Bannockburn,0.3,0.02714616896227998
Creepoid - OldTree,1.66,0.02316287696888206
Dark Ride - Burning Bridges,0.56,0.0257678598244007
Dreamers Of The Ghetto - Heavy Love,3.78,0.01694993948756297
Drumtracks - Ghost Bitch,3.79,0.028003851196297853
Faces On Film - Waiting For Ga,0.45,0.019407503442521443
Fergessen - Back From The Start,0.33,0.02963041400071328
Fergessen - Nos Palpitants,0.29,0.020160202754039125
Fergessen - The Wind,0.54,0.020833333333333332
Flags - 54,0.3,0.006342285375660682
Giselle - Moss,3.84,0.019812927328563705
Grants - PunchDrunk,2.69,0.029325243437756398
Helado Negro - Mitad Del Mundo,2.29,0.016497082148735596
Hezekiah Jones - Borrowed Heart,3.71,0.0165577692967707
Hollow Ground - Left Blind,0.31,0.018833552536144976
Hop Along - Sister Cities,0.63,0.024698179367347372
Invisible Familiars - Disturbing Wildlife,0.46,0.03200816555572998
James May - All Souls Moon,0.87,0.03619178321368057
James May - Dont Let Go,2.2,0.028908554572271386
James May - If You Say,2.21,0.02321083172147002
James May - On The Line,1.96,0.031216793998093545
Jay Menon - Through My Eyes,4.11,0.02368198477586693
Johnny Lokke - Promises & Lies,2.36,0.03146853146853147
Johnny Lokke - Whisper To A Scream,2.19,0.02739534437110424
"Jokers, Jacks & Kings - Sea Of Leaves",0.29,0.026088981292129863
Leaf - Come Around,2.09,0.00377956999292252
Leaf - Summerghost,0.25,0.004310344827586207
Leaf - Wicked,1.02,0.036683511136065876
Lushlife - Toynbee Suite,0.32,0.017500373745355603
Matthew Entwistle - Dont You Ever,3.34,0.03508262515090103
Meaxic - Take A Step,0.96,0.024759977801841734
Meaxic - You Listen,1.79,0.02180689431914195
Music Delta - 80s Rock,0.95,0.02708579009433962
Music Delta - Beatles,0.7,0.027492531507313886
Music Delta - Britpop,1.39,0.027182136959755028
Music Delta - Country1,1.02,0.028782894736842108
Music Delta - Country2,1.63,0.0
Music Delta - Disco,1.4,0.04007053868615155
Music Delta - Gospel,1.57,0.026407067034130087
Music Delta - Grunge,0.98,0.023892493531148012
Music Delta - Hendrix,3.28,0.05039320411647344
Music Delta - Punk,1.07,0.034767444427275335
Music Delta - Reggae,1.58,0.0
Music Delta - Rock,0.64,0.0
Music Delta - Rockabilly,1.09,0.038536891427333055
Night Panther - Fire,1.84,0.014084764947310417
North To Alaska - All The Same,0.31,0.028209556706966035
Patrick Talbot - A Reason To Leave,0.69,0.026949452883329558
Patrick Talbot - Set Me Free,1.39,0.024139418395628724
Phre The Eon - Everybody's Falling Apart,2.18,0.02673562828625431
Port St Willow - Stay Even,0.27,0.018926562077979152
Remember December - C U Next Time,2.44,0.024720506921741936
Secret Mountains - High Horse,4.05,0.014064681460798001
Skelpolu - Human Mistakes,3.85,0.027719112988384368
Skelpolu - Together Alone,3.45,0.02760736004289192
Snowmine - Curfews,4.04,0.025436532760803977
Spike Mullings - Mike's Sulking,2.24,0.035036497896794964
St Vitus - Word Gets Around,1.77,0.028316027412703025
Steven Clark - Bounty,0.37,0.02418283823796336
Strand Of Oaks - Spacestation,2.21,0.012302051346140113
Sweet Lights - You Let Me Down,0.28,0.02040910773787486
Swinging Steaks - Lost My Way,1.91,0.019345643479531126
The Districts - Vermont,3.75,0.026298142820383386
The Long Wait - Back Home To Blue,2.16,0.02301955087168497
The Scarlet Brand - Les Fleurs Du Mal,2.23,0.019760415049370792
The So So Glos - Emergency,1.36,0.023952095808383235
The Wrong'Uns - Rothko,2.79,0.01976877703217761
Tim Taler - Stalker,0.74,0.025229357360784195
Titanium - Haunted Age,1.67,0.016110271704664017
Traffic Experiment - Once More (With Feeling),3.41,0.02986702842603417
Traffic Experiment - Sirens,1.91,0.018981660799550812
Triviul - Angelsaint,2.2,0.02532722467985852
Triviul - Dorothy,2.49,0.02132675121764385
Voelund - Comfort Lives In Belief,1.64,0.023798730734360833
Wall Of Death - Femme,3.03,0.0250924156703748
Young Griffo - Blood To Bone,0.91,0.027495864263953885
Young Griffo - Facade,2.81,0.017851451634709914
Young Griffo - Pennies,1.46,0.017985969475566653
